Date,合計,外資,投信,自營商
2016-04-30,279214889.2631579,829259626.3157895,-286194733.2105263,-263850003.84210527
2016-05-31,-2821003284.7619047,-3520436013.571429,85857791.09523809,613574937.7142857
2016-06-30,2844556980.8095236,3911183048.952381,-111215819.57142857,-955410248.5714285
2016-07-31,7919726672.75,8384259874.0,5621167.8,-470154369.05
2016-08-31,2280605419.3913045,3088445355.869565,-252029141.39130434,-555810795.0869565
2016-09-30,-804276331.3157895,130762286.89473684,-19214484.63157895,-915824133.5789474
2016-10-31,45723800.55,-92955284.65,15279912.85,123399172.35
2016-11-30,-3895269784.590909,-4372521006.818182,66994100.63636363,410257121.59090906
2016-12-31,-145359176.1818182,88315510.95454545,4673.045454545455,-233679360.1818182
2017-01-31,2766499166.6875,2874970824.5,189969936.875,-298441594.6875
2017-02-28,2966671508.3333335,2738854135.111111,-115098749.16666667,342916122.3888889
2017-03-31,2739526351.478261,3059061024.4347825,-148744848.6956522,-170789824.26086956
2017-04-30,1559944435.7777777,1783470473.0,-294559292.6666667,71033255.44444445
2017-05-31,2965743339.65,2490307425.8,51744486.6,423691427.25
2017-06-30,2837243575.9444447,2216614907.111111,-339901245.9444444,960529914.7777778
2017-07-31,-515311357.85714287,-249220713.76190478,-407636731.85714287,141546087.76190478
2017-08-31,-672150403.2173913,-278190834.26086956,-60164843.91304348,-333794725.04347825
2017-09-30,-3471398191.6363635,-2819610988.2727275,-248617553.22727272,-403169650.1363636
2017-10-31,2987683379.0526314,2321730615.0526314,89677114.21052632,576275649.7894737
2017-11-30,-2176204327.681818,-2157245782.409091,-200887323.5,181928778.22727272
2017-12-31,-2315371678.904762,-1620378780.2380953,-17140175.285714287,-677852723.3809524
2018-01-31,4165268439.681818,3442751454.2727275,-57556095.90909091,780073081.3181819
2018-02-28,-8361756427.538462,-7641590192.230769,138384731.23076922,-858550966.5384616
2018-03-31,-3127683532.2173915,-1953949134.652174,-222463931.6956522,-951270465.8695652
