Date,TWII
2018/4/3,10821.53027
2018/4/9,10893.53027
2018/4/10,10927.17969
2018/4/11,10974.01953
2018/4/12,10955.29004
2018/4/13,10965.38965
2018/4/16,10954.5498
2018/4/17,10810.4502
2018/4/18,10847.88965
2018/4/19,10971.21973
2018/4/20,10779.37988
2018/4/23,10697.12988
2018/4/24,10579.5
2018/4/25,10559.96973
2018/4/26,10488.58008
2018/4/27,10553.42969
2018/4/30,10657.87988
2018/5/2,10618.80957
2018/5/3,10514.17969
2018/5/4,10529.37012
2018/5/7,10604.91016
2018/5/8,10691.37988
2018/5/9,10703.34961
2018/5/10,10760.20996
2018/5/11,10858.98047
2018/5/14,10952.38965
2018/5/15,10874.73047
2018/5/16,10897.57031
2018/5/17,10833.80957
2018/5/18,10830.83984
2018/5/21,10966.2002
2018/5/22,10938.73047
2018/5/23,10886.17969
2018/5/24,10936.92969
2018/5/25,10942.2998
2018/5/28,10987.76953
2018/5/29,10964.12012
2018/5/30,10821.16992
2018/5/31,10874.95996
2018/6/1,10949.08008
2018/6/4,11109.5
2018/6/5,11100.11035
2018/6/6,11201.83008
2018/6/7,11251.75
2018/6/8,11156.41992
2018/6/11,11149.23047
2018/6/12,11144.79004
2018/6/13,11173.20996
2018/6/14,11013.98047
2018/6/15,11087.46973
2018/6/19,10904.19043
2018/6/20,10927.44043
2018/6/21,10941.07031
2018/6/22,10899.28027
2018/6/25,10786.45996
2018/6/26,10742.16992
2018/6/27,10701.03027
2018/6/28,10654.28027
2018/6/29,10836.91016
2018/7/2,10777.94043
2018/7/3,10715.71973
2018/7/4,10721.87012
2018/7/5,10611.80957
2018/7/6,10608.57031
2018/7/9,10720.28027
2018/7/10,10756.88965
2018/7/11,10676.83984
2018/7/12,10738.37988
2018/7/13,10864.54004
2018/7/16,10817.4502
2018/7/17,10778.99023
2018/7/18,10842.45996
2018/7/19,10835.37988
2018/7/20,10932.11035
2018/7/23,10946.88965
2018/7/24,10995.38965
2018/7/25,10965.79004
2018/7/26,11010.61035
2018/7/27,11075.78027
2018/7/30,11033.54004
2018/7/31,11057.50977
2018/8/1,11098.12988
2018/8/2,10929.76953
2018/8/3,11012.42969
2018/8/6,11024.09961
2018/8/7,10983.44043
2018/8/8,11075.25
2018/8/9,11028.07031
2018/8/10,10983.67969
2018/8/13,10748.91992
2018/8/14,10824.23047
2018/8/15,10716.75
2018/8/16,10683.90039
2018/8/17,10690.95996
2018/8/20,10699.0498
2018/8/21,10792.2002
2018/8/22,10804.2002
2018/8/23,10863.12988
2018/8/24,10809.34961
2018/8/27,10902.20996
2018/8/28,10989.5498
2018/8/29,11099.57031
2018/8/30,11093.75
2018/8/31,11063.94043
2018/9/3,10964.21973
2018/9/4,11021.37988
2018/9/5,10995.12988
2018/9/6,10924.2998
2018/9/7,10846.99023
2018/9/10,10725.7998
2018/9/11,10752.2998
2018/9/12,10722.57031
2018/9/13,10727.23047
2018/9/14,10868.13965
2018/9/17,10828.61035
2018/9/18,10760.20996
2018/9/19,10857.26953
2018/9/20,10831.41016
2018/9/21,10972.41016
2018/9/25,10978.84961
2018/9/26,10974.19043
2018/9/27,11034.19043
2018/9/28,11006.33984
2018/10/1,11051.7998
2018/10/2,10919.62988
2018/10/3,10863.94043
2018/10/4,10718.91016
2018/10/5,10517.12012
2018/10/8,10455.92969
2018/10/9,10466.83008
2018/10/11,9806.110352
2018/10/12,10045.80957
2018/10/15,9901.120117
2018/10/16,9981.099609
2018/10/17,9979.139648
2018/10/18,9953.730469
2018/10/19,9919.259766
2018/10/22,9974.280273
2018/10/23,9775.200195
2018/10/24,9759.400391
2018/10/25,9520.790039
2018/10/26,9489.179688
2018/10/29,9516.320313
2018/10/30,9526.110352
2018/10/31,9802.129883
2018/11/1,9844.740234
2018/11/2,9906.589844
2018/11/5,9889.80957
2018/11/6,9824.950195
2018/11/7,9908.349609
2018/11/8,9945.30957
2018/11/9,9830.009766
2018/11/12,9831.209961
2018/11/13,9775.839844
2018/11/14,9791.879883
2018/11/15,9826.459961
2018/11/16,9797.089844
2018/11/19,9828.69043
2018/11/20,9743.990234
2018/11/21,9741.519531
2018/11/22,9714.709961
2018/11/23,9667.299805
2018/11/26,9765.360352
2018/11/27,9778.620117
2018/11/28,9884.30957
2018/11/29,9885.360352
2018/11/30,9888.030273
2018/12/3,10137.87012
2018/12/4,10083.54004
2018/12/5,9916.740234
2018/12/6,9684.719727
2018/12/7,9760.879883
2018/12/10,9647.540039
2018/12/11,9707.040039
2018/12/12,9816.450195
2018/12/13,9858.759766
2018/12/14,9774.160156
2018/12/17,9787.530273
2018/12/18,9718.820313
2018/12/19,9783.209961
2018/12/20,9674.519531
2018/12/21,9676.669922
2018/12/24,9639.700195
2018/12/25,9527.089844
2018/12/26,9478.990234
2018/12/27,9641.55957
2018/12/28,9727.410156
2019/1/2,9554.139648
2019/1/3,9492.419922
2019/1/4,9382.509766
2019/1/7,9590.299805
2019/1/8,9563.599609
2019/1/9,9738.30957
2019/1/10,9720.69043
2019/1/11,9759.400391
2019/1/14,9708.219727
2019/1/15,9806.040039
2019/1/16,9763.80957
2019/1/17,9789.150391
2019/1/18,9836.05957
2019/1/21,9889.400391
2019/1/22,9894.660156
2019/1/23,9846.400391
2019/1/24,9877.120117
2019/1/25,9969.610352
2019/1/28,10013.33008
2019/1/29,9931.589844
2019/1/30,9932.259766
2019/2/11,10004.25
2019/2/12,10097.74023
2019/2/13,10090.58008
2019/2/14,10089.00977
2019/2/15,10064.78027
2019/2/18,10145.28027
2019/2/19,10152.25977
2019/2/20,10272.45996
2019/2/21,10319.53027
2019/2/22,10322.91992
2019/2/25,10390.92969
2019/2/26,10391.5498
2019/2/27,10389.16992
2019/3/4,10349.87988
2019/3/5,10305.25977
2019/3/6,10357.15039
2019/3/7,10311.67969
2019/3/8,10241.75
2019/3/11,10250.28027
2019/3/12,10343.33008
2019/3/13,10373.32031
2019/3/14,10348.65039
2019/3/15,10439.24023
2019/3/18,10512.7002
2019/3/19,10512.32031
2019/3/20,10551.55957
2019/3/21,10609.5498
2019/3/22,10639.07031
2019/3/25,10479.48047
2019/3/26,10559.2002
2019/3/27,10542.7002
2019/3/28,10536.25977
2019/3/29,10641.04004
2019/4/1,10642.62988
2019/4/2,10690.2998
2019/4/3,10704.37988
2019/4/8,10800.57031
2019/4/9,10851.59961
2019/4/10,10868.13965
2019/4/11,10808.76953
2019/4/12,10805.2998
2019/4/15,10875.59961
2019/4/16,10927.84961
