,日期,當日沖銷交易總成交股數,當日沖銷交易總成交股數占市場比重%,當日沖銷交易總買進成交金額,當日沖銷交易總買進成交金額占市場比重%,當日沖銷交易總賣出成交金額,當日沖銷交易總賣出成交金額占市場比重%
12,108/03/20,633155000,14.8,32503587590,27.24,32579410410,27.3
13,108/03/21,556621000,13.42,27712999990,24.55,27774477200,24.6
14,108/03/22,681392000,14.19,35570853790,26.98,35580759000,26.99
15,108/03/25,533508000,11.91,25208016290,23.01,25276621990,23.07
16,108/03/26,523707000,13.59,28016984550,26.59,28033271370,26.61
17,108/03/27,484966000,12.04,25475878330,24.15,25523343630,24.19
18,108/03/28,465567000,12.24,20861381850,23.01,20879570430,23.03
19,108/03/29,537773400,11.35,25898463830,20.91,25947672650,20.95
0,108/04/01,655277000,11.82,35184349800,22.78,35255534990,22.83
1,108/04/02,577390000,12.41,33260628610,24.56,33354644330,24.63
2,108/04/03,540754000,13.19,28064263430,23.79,28111026730,23.82
3,108/04/08,639164500,11.84,33362449230,20.83,33431153165,20.87
4,108/04/09,582762000,11.46,32776862290,23.46,32818573620,23.49
5,108/04/10,540680100,11.61,28504548915,21.68,28563394350,21.72
6,108/04/11,584987100,11.57,31669470385,22.55,31655992390,22.54
7,108/04/12,519954000,11.91,29486811520,24.36,29486741210,24.36
8,108/04/15,525860700,11.42,27071864940,22.51,27136053060,22.56
9,108/04/16,749408000,14.88,32490778590,24.44,32572655510,24.5
10,108/04/17,745500000,13.5,41960849630,24.79,42046727280,24.84
11,108/04/18,711573000,12.42,43402197700,23.95,43346221895,23.92
12,108/04/19,618646000,13.83,34323205640,26.65,34342222770,26.66
13,108/04/22,601805300,13.58,26873680140,23.97,26823315000,23.93
14,108/04/23,553385100,13.78,29466352245,26.32,29494207465,26.34
15,108/04/24,595482000,13.93,30209345160,23.93,30231883300,23.94
16,108/04/25,604375200,14.8,30150998790,26.08,30177147140,26.1
17,108/04/26,563980100,12.75,28025227765,24.21,28022158205,24.2
18,108/04/29,543806000,13.12,31719495850,26.17,31743727370,26.19
